City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
311,korla,41.7597,86.1469,19.27,37,19,3.18,CN,1726440529
312,tanjung selor,2.8372,117.3642,24.26,79,100,1.54,ID,1726440530
313,astrakhan,46.3497,48.0408,15.93,51,0,4.0,RU,1726440289
314,chibougamau,49.9168,-74.3659,23.79,60,0,4.12,CA,1726440534
315,visby,57.6409,18.296,13.12,82,81,3.09,SE,1726440535
316,lospalos,-8.5186,127.0025,23.73,68,78,1.68,TL,1726440536
317,alice springs,-23.7,133.8833,12.75,26,75,6.69,AU,1726440537
318,floriano,-6.7669,-43.0225,29.03,31,13,2.06,BR,1726440538
319,mandalgovi,45.7625,106.2708,5.78,70,0,1.1,MN,1726440539
320,bail-hongal,15.8167,74.8667,19.84,93,100,3.54,IN,1726440540
321,kunnamkulam,10.65,76.0833,24.68,91,56,1.14,IN,1726440541
322,woolgoolga,-30.1106,153.2007,15.93,58,4,6.69,AU,1726440543
323,ohara,35.25,140.3833,27.19,86,84,3.63,JP,1726440544
324,la passe,45.5549,-0.8967,13.73,56,72,4.55,FR,1726440545
325,gunnison,38.7,-107.0673,14.88,50,81,0.54,US,1726440546
326,niquero,20.0431,-77.5828,29.8,71,100,2.65,CU,1726440547
327,uturoa,-16.7333,-151.4333,25.74,80,11,3.32,PF,1726440548
328,elsterberg,50.6084,12.1679,11.67,83,100,0.45,DE,1726440549
329,bengkulu,-3.8004,102.2655,24.57,85,47,1.4,ID,1726440553
330,codrington,-38.2667,141.9667,11.28,64,100,6.8,AU,1726440554
331,porto novo,6.4965,2.6036,25.9,92,33,3.65,BJ,1726440555
332,qamdo,31.1667,97.2333,5.49,85,75,0.89,CN,1726440556
333,vanimo,-2.6741,141.3028,27.61,82,99,1.96,PG,1726440557
334,urengoy,65.9667,78.3667,4.3,56,93,3.96,RU,1726440558
335,veraval,20.9,70.3667,25.78,80,2,2.17,IN,1726440559
336,sake,-1.5736,29.045,18.21,58,49,0.25,CD,1726440561
337,navalmoral de la mata,39.8916,-5.5406,21.94,22,0,0.97,ES,1726440562
338,chifeng,42.2683,118.9636,15.86,55,100,2.46,CN,1726440563
339,maintirano,-18.0667,44.0167,24.05,75,1,1.98,MG,1726440564
340,sabang,5.8933,95.3214,28.11,75,82,10.97,ID,1726440565
341,hauterive,46.0901,3.4459,7.33,90,42,1.45,FR,1726440566
342,taltal,-25.4,-70.4833,18.71,56,26,2.53,CL,1726440567
343,papao,-17.75,-149.55,27.82,81,33,2.74,PF,1726440569
344,kangaba,11.9333,-8.4167,23.06,94,100,2.15,ML,1726440570
